,chunk_id,text,level,likes,score,parent_id,combined_score,full_context
166,7384570962508860714_7387824069046485803_reply_591,ebay. Red light electric scalp massager,reply,0.0,0.529846191,7384570962508860714_7387824069046485803,0.529846191,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
..and a scalp massager
ebay. Red light electric scalp massager"
179,7384570962508860714_7388950902164292385_reply_786,scalp massager automatic sur aliexpress 30€ 🤝,reply,1.0,0.514469922,7384570962508860714_7388950902164292385,0.524469922,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
299.99 euro😩
scalp massager automatic sur aliexpress 30€ 🤝"
174,7384570962508860714_7388532980620182304_reply_809,"search ""Breo scalp massager"" in Amazon 😉",reply,0.0,0.521091044,7384570962508860714_7388532980620182304,0.521091044,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
Tiktok shop isnt available in all countries where could i buy this?
search ""Breo scalp massager"" in Amazon 😉"
227,7367422015256431914_7372695010381005599_reply_9,Try the heating massager eye mask too along with this 🙌🏻 amazing,reply,5.0,0.463436365,7367422015256431914_7372695010381005599,0.513436365,"You can't afford not to buy this!! #tiktokshopfinds #fyp #dailydeals #heat #massage #massager #neckmassage #neckmassager #relief #stress #tiktokdeals #tiktokmademe #tiktokmadebuyit #tiktokshopdeals #TikTokShop #tiktokshopdeals #viral 
This is the best thing for when I get migraines
Try the heating massager eye mask too along with this 🙌🏻 amazing"
182,7348156814791396613_7350658836634420014_reply_509,Check it here to get a much cheaper price😍: https://www.chillmagma.com/products/scalp-massaging-comb,reply,0.0,0.510248125,7348156814791396613_7350658836634420014,0.510248125,"I use the multifunctional scalp massager almost every day now! ✨ #beautyfinds #amazonbeauty #massagelover #massage #scalpmassage #hairgrowth #makeupbrushes #brushcleaner #BeautyTok 
Definitely need that scalp massager 💖
Check it here to get a much cheaper price😍: https://www.chillmagma.com/products/scalp-massaging-comb"
185,7348156814791396613_7349012905205170975_reply_465,Check it here to get a much cheaper price😍: https://www.chillmagma.com/products/scalp-massaging-comb,reply,0.0,0.510031641,7348156814791396613_7349012905205170975,0.510031641,"I use the multifunctional scalp massager almost every day now! ✨ #beautyfinds #amazonbeauty #massagelover #massage #scalpmassage #hairgrowth #makeupbrushes #brushcleaner #BeautyTok 
I love how she said the price of the first product and purposely did not say the price of the second🤔😂😂
Check it here to get a much cheaper price😍: https://www.chillmagma.com/products/scalp-massaging-comb"
184,7348156814791396613_7348611900701164294_reply_463,Check it here to get a much cheaper price😍: https://www.chillmagma.com/products/scalp-massaging-comb,reply,0.0,0.510031641,7348156814791396613_7348611900701164294,0.510031641,"I use the multifunctional scalp massager almost every day now! ✨ #beautyfinds #amazonbeauty #massagelover #massage #scalpmassage #hairgrowth #makeupbrushes #brushcleaner #BeautyTok 
$300 for the brush in Canada
Check it here to get a much cheaper price😍: https://www.chillmagma.com/products/scalp-massaging-comb"
234,7384570962508860714_7388532980620182304_reply_807,2 - the tool is not actually massaging the scalp with the intensity it should. You have to feel your flesh movibg when doing a scalp massage,reply,5.0,0.456402242,7384570962508860714_7388532980620182304,0.5064022420000001,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
Tiktok shop isnt available in all countries where could i buy this?
2 - the tool is not actually massaging the scalp with the intensity it should. You have to feel your flesh movibg when doing a scalp massage"
221,7384570962508860714_7388496056893408032_reply_740,Scalp massage automatic vind je meer,reply,3.0,0.46812892,7384570962508860714_7388496056893408032,0.49812892,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
Waar koop je dit
Scalp massage automatic vind je meer"
277,7383830524831337734_7397864537204998918,No amor no es un chupetón solo fui a la tienda y probé un masajeador de cuello,comment,7.0,0.42666173,7383830524831337734,0.49666173,"No esperes más para darte un buen masaje en el cuello con este masajeador. #Valencia #Caracas #venezuela #maracay #vinotinto#spa #parati 
No amor no es un chupetón solo fui a la tienda y probé un masajeador de cuello"
253,7367422015256431914_7380894631334789934,can't toss it. the hand gun massager works on many other parts of the body. I use it along my spine on both sides. I get cracks only a chiropractor get when I run that thing on low every weekend🥴,comment,5.0,0.445709109,7367422015256431914,0.495709109,"You can't afford not to buy this!! #tiktokshopfinds #fyp #dailydeals #heat #massage #massager #neckmassage #neckmassager #relief #stress #tiktokdeals #tiktokmademe #tiktokmadebuyit #tiktokshopdeals #TikTokShop #tiktokshopdeals #viral 
can't toss it. the hand gun massager works on many other parts of the body. I use it along my spine on both sides. I get cracks only a chiropractor get when I run that thing on low every weekend🥴"
256,7349236363142778155_7379339410922128158,That massager is amazing my son bought me 1 and it arrived today! Just amazing!!!,comment,5.0,0.443436563,7349236363142778155,0.493436563,"i was so relaxed 🤣 best purchase ever👏🏼  • • • #colorsofspring #tiktokspringsale #neckmassager #backmassager #heatedmassager #body #StressRelief #massager #massagetherapy #tiktokmademebuylt #TikTokShop 
That massager is amazing my son bought me 1 and it arrived today! Just amazing!!!"
307,7383830524831337734_7385276919765893894,q locura ése masaje,comment,9.0,0.39788571,7383830524831337734,0.48788571000000003,"No esperes más para darte un buen masaje en el cuello con este masajeador. #Valencia #Caracas #venezuela #maracay #vinotinto#spa #parati 
q locura ése masaje"
377,7367422015256431914_7374440714426762026,I use it on my back. it's intense.,comment,14.0,0.342558265,7367422015256431914,0.482558265,"You can't afford not to buy this!! #tiktokshopfinds #fyp #dailydeals #heat #massage #massager #neckmassage #neckmassager #relief #stress #tiktokdeals #tiktokmademe #tiktokmadebuyit #tiktokshopdeals #TikTokShop #tiktokshopdeals #viral 
I use it on my back. it's intense."
293,7372009515425746218_7379388161069269792,I crack my neck every day is that good or bad?,comment,7.0,0.40898785,7372009515425746218,0.47898785,"#neckpain #neckpainrelief #chiropractor #chiropractic #sarasota #posture #massage #guasha
I crack my neck every day is that good or bad?"
258,7384570962508860714_7388575074045231904_reply_868,"Automatic scalp massage, you will find it. But im not sure if it is save tho😂",reply,4.0,0.43862319,7384570962508860714_7388575074045231904,0.47862319,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
Does shein have this😂😂😂
Automatic scalp massage, you will find it. But im not sure if it is save tho😂"
333,7348156814791396613_7348946327727096609,est-ce possible d'avoir la référence de la brosse de massage svp ?,comment,10.0,0.378590077,7348156814791396613,0.478590077,"I use the multifunctional scalp massager almost every day now! ✨ #beautyfinds #amazonbeauty #massagelover #massage #scalpmassage #hairgrowth #makeupbrushes #brushcleaner #BeautyTok 
est-ce possible d'avoir la référence de la brosse de massage svp ?"
384,7381570654853778721_7386148370207752991,"I need this so bad. My trap tension is so painful, I have headaches daily now",comment,14.0,0.336781949,7381570654853778721,0.47678194900000004,"DO YOU SUFFER WITH TIGHT, TENDER AREAS IN YOUR TRAPS? THIS IS WHAT YOU NEED! #utilitymassage #sportsmassage #deeptissue #backpain #backpainrelief #tightback #neckpain #neckpainrelief #musclerelease #muscleknot 
I need this so bad. My trap tension is so painful, I have headaches daily now"
223,7388549755439222049_7389937942360507168_reply_1412,"Oooh yes I will, I just hope it releases all the knots & tension in my neck & shoulders, can’t wait to receive it x",reply,1.0,0.465585917,7388549755439222049_7389937942360507168,0.475585917,"The PERFECT gift for anyone who uses a phone, computer or is stressed!  #massage #massager #neckmassager #massagetherapy #shouldermassage 
I use it for the bottom of my back, to relieve sciatica. love it
Oooh yes I will, I just hope it releases all the knots & tension in my neck & shoulders, can’t wait to receive it x"
388,7371919724038606112_7371979785134981930,So relaxing 🥺,comment,14.0,0.333314598,7371919724038606112,0.47331459800000003,"full video on my youtube channel 😴🪶 #asmrwhispering #asmrsoftspoken #asmrlongnails #asmrmassage #asmrscalpmassage #asmrheadmassage #asmrrelaxingmassage #asmrhair #asmrtofallasleep #asmrlighttouch #slowasmr #asmrhairplay #asmrbackmassage #asmrbackscratching #asmrbacktracing #asmrscalpscratching #asmrsoftwhispering #asmrneckmassage 
So relaxing 🥺"
228,7384570962508860714_7388575074045231904_reply_818,"Did my research couldn’t find this on shein although there was another good massager, but ali express has this exact one but it’s like 35€",reply,1.0,0.462970734,7384570962508860714_7388575074045231904,0.472970734,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
Does shein have this😂😂😂
Did my research couldn’t find this on shein although there was another good massager, but ali express has this exact one but it’s like 35€"
246,7363888327012977962_7369695869950985002_reply_1853,"I bought the Nekteck Shiatsu foot massager, and love it! Worth every penny.",reply,2.0,0.448420048,7363888327012977962_7369695869950985002,0.46842004800000003,"Foot Massager #footmassager#footmassage#emsmassager#feet#feetcare#mothersday#giftideas 
Mine never changed. Charged it 4 times, for more than an hour. Still didn’t work. Now it sits in my dresser.
I bought the Nekteck Shiatsu foot massager, and love it! Worth every penny."
226,7365679758698368298_7365795768215257887_reply_1666,Then you probably need things a lot more important than a back massager....,reply,0.0,0.463845491,7365679758698368298_7365795768215257887,0.463845491,"Replying to @WalkingOnSunshine its a YES for me on the feet #neckmassager #tiktokshopmothersday #mothersdaygift #giftsformom #massagetherapy #footmassage 
I just placed myself in this video and imagined the relief and now I need one but I’m broke 😩
Then you probably need things a lot more important than a back massager...."
244,7353636564796296479_7360476485815796526_reply_949,Helps my mom’s neck. Her Cspine is straight and she has degenerative disc disease so she gets tension headaches too. She tried hubbies and I’m making sure she has one at her house when she goes home.,reply,1.0,0.448641598,7353636564796296479_7360476485815796526,0.458641598,"I think hes happy! #neckmassager #giftideasformen #giftsforhusband 
I get bad migraines from tension knots. Does this really work that well?
Helps my mom’s neck. Her Cspine is straight and she has degenerative disc disease so she gets tension headaches too. She tried hubbies and I’m making sure she has one at her house when she goes home."
295,7394259764575882526_7406433939416613674_reply_1521,Dang girl strong neck 😂,reply,5.0,0.407083571,7394259764575882526_7406433939416613674,0.45708357099999997,"You deserve a neck massage #shiatsu #neckmassager #massager #stress #neck #ttshop #tiktok #mom #men #women #relax #sale #freeshipping #staygrounded #foryou 
It wasn’t hard enough for me!! It was not that great for me!
Dang girl strong neck 😂"
248,7384570962508860714_7388654456512496416_reply_597,The ORIGINAL Breo Scalp 3 Massager costs 209$. Hope this helps 😍,reply,1.0,0.446114,7384570962508860714_7388654456512496416,0.456114,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil 
And that would be 600$
The ORIGINAL Breo Scalp 3 Massager costs 209$. Hope this helps 😍"
341,7395418312047332654_7404685221191156526,I've never had a massage in my 47 years of life,comment,8.0,0.371739328,7395418312047332654,0.451739328,"The man who never stops talking is left speechless!! 😆😆 This is his honest review, 2 thumbs up 👍🏻👍🏻 #viralproducts2024 #ad #viralproducts #honestreview #viralneckmassager #neckmassager #massageshawl #ttshopdeals #ttshop #viral 
I've never had a massage in my 47 years of life"
318,7395418312047332654_7404695757351469867,man's finding out what we actually want when we say we want a massage,comment,6.0,0.387597919,7395418312047332654,0.447597919,"The man who never stops talking is left speechless!! 😆😆 This is his honest review, 2 thumbs up 👍🏻👍🏻 #viralproducts2024 #ad #viralproducts #honestreview #viralneckmassager #neckmassager #massageshawl #ttshopdeals #ttshop #viral 
man's finding out what we actually want when we say we want a massage"
335,7399075770284477738_7401562325028946731,She’s loving that massage a little too much 🥴but that good 😂,comment,7.0,0.377410591,7399075770284477738,0.447410591,"Send this to someone who needs it! #tiktokshopbacktoschool #tiktokshopmademebuyit #foryou #foryoupage #summergames #neckmassager #backmassager #viral #fy #shiatsu #shiatsumassager 
She’s loving that massage a little too much 🥴but that good 😂"
325,7394678533060185375_7395377328634774303_reply_1609,It is a deep tissue massage but you should be able to change the settings depending on the one you have. Also don’t pull it to tight to where it is pressing in your back really hard,reply,6.0,0.385666043,7394678533060185375_7395377328634774303,0.445666043,"Replying to @Destiny D Alexander ONLY $20 GET YOURS NOW! #backmassager #neckmassager #backpain #backpainrelief #neckpain #neckpainrelief #FYP 
I think I may use mine incorrectly because it always hurts me like it feels more uncomfortable than comfortable to me and I doing something wrong🤣🤣
It is a deep tissue massage but you should be able to change the settings depending on the one you have. Also don’t pull it to tight to where it is pressing in your back really hard"
